Num,Horse Name,Age,Gender,Handicap Rating,Career Runs,Career Wins,Career Strike Rate,Career ROI,Career Placings,Career Place Strike Rate,Dry Track Runs,Dry Track Wins,Dry Track Strike Rate,Dry Track ROI,Wet Track Runs,Wet Track Wins,Wet Track Strike Rate,Wet Track ROI,Average Prize Money,Career Prize Money,Best Fixed Odds,BetEasy Odds,Weight,Weight Carried,Barrier,Prize Money,This Track Runs,This Track Wins,This Track Strike Rate,This Track ROI,This Track Places,This Track Place Strike Rate,This Distance Runs,This Distance Wins,This Distance Strike Rate,This Distance ROI,This Distance Places,This Distance Place Strike Rate,This Track Distance Runs,This Track Distance Wins,This Track Distance Strike Rate,This Track Distance ROI,This Track Distance Places,This Track Distance Place Strike Rate,This Condition Runs,This Condition Wins,This Condition Strike Rate,This Condition ROI,This Condition Places,This Condition Place Strike Rate,Jockey,Apprentice,Jockey Weight Claim,Jockey Last 100 Horse Earnings,Jockey Last 100 Avg Horse Earnings,Jockey Last 100 Starts,Jockey Last 100 Wins,Jockey Last 100 Strike Rate,Jockey Last 100 ROI,Jockey Last 100 Places,Jockey Last 100 Place Strike Rate,Jockey 12 Month Horse Earnings,Jockey 12 Month Avg Horse Earnings,Jockey 12 Months Starts,Jockey 12 Months Wins,Jockey 12 Months Strike Rate,Jockey 12 Months ROI,Jockey 12 Months Places,Jockey 12 Months Place Strike Rate,Jockey This Season Horse Earnings,Jockey This Season Avg Horse Earnings,Jockey This Season Starts,Jockey This Season Wins,Jockey This Season Strike Rate,Jockey This Season ROI,Jockey This Season Places,Jockey This Season Place Strike Rate,Jockey Last Season Horse Earnings,Jockey Last Season Avg Horse Earnings,Jockey Last Season Starts,Jockey Last Season Wins,Jockey Last Season Strike Rate,Jockey Last Season ROI,Jockey Last Season Places,Jockey Last Season Place Strike Rate,Trainer,Trainer Last 100 Horse Earnings,Trainer Last 100 Avg Horse Earnings,Trainer Last 100 Starts,Trainer Last 100 Wins,Trainer Last 100 Strike Rate,Trainer Last 100 ROI,Trainer Last 100 Places,Trainer Last 100 Place Strike Rate,Trainer 12 Month Horse Earnings,Trainer 12 Month Avg Horse Earnings,Trainer 12 Months Starts,Trainer 12 Months Wins,Trainer 12 Months Strike Rate,Trainer 12 Months ROI,Trainer 12 Months Places,Trainer 12 Months Place Strike Rate,Trainer This Season Horse Earnings,Trainer This Season Avg Horse Earnings,Trainer This Season Starts,Trainer This Season Wins,Trainer This Season Strike Rate,Trainer This Season ROI,Trainer This Season Places,Trainer This Season Place Strike Rate,Trainer Last Season Horse Earnings,Trainer Last Season Avg Horse Earnings,Trainer Last Season Starts,Trainer Last Season Wins,Trainer Last Season Strike Rate,Trainer Last Season ROI,Trainer Last Season Places,Trainer Last Season Place Strike Rate,Last Start Finish Position,Last Start Margin,Last Start Distance,Last Start Distance Change,Last Start Prize Money,Form Guide Url,Horse Profile Url,Jockey Profile Url,Trainer Profile Url,FinishResult
1,Pedway,7,G,71,22,3,13.64,-65,8,36.36,14,2,14.29,-64,8,1,12.5,-65,4362,95970,36,,59,57.5,6,75000,4,0,0,-100,1,25,11,3,27.27,-29,5,45.45,3,0,0,-100,1,33.33,14,2,14.29,-64,4,28.57,Jean Van Overmeire,Yes,1.5,350510,3505,100,7,7,-12,23,23,2097400,4237,495,32,6.46,-45,121,24.44,450030,3041,148,8,5.41,-27,38,25.68,2589215,4550,569,40,7.03,-40,149,26.19,Danny Williams,448925,4489,100,15,15,-6,33,33,1011380,4436,228,37,16.23,-5,86,37.72,382230,4445,86,13,15.12,4,28,32.56,886765,3790,234,28,11.97,-38,79,33.76,14,4.6,1100m,100,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/pedway_488252/,https://www.punters.com.au/jockeys/jean-van-overmeire_13565/,https://www.punters.com.au/trainers/danny-williams_526/,3
2,Step On Fire,4,G,69,6,3,50,35,4,66.67,4,3,75,103,2,0,0,-100,7231,43385,7,,59,56,10,75000,0,0,0,0,0,0,2,1,50,0,2,100,0,0,0,0,0,0,4,3,75,103,3,75,Reece Jones,Yes,3,328540,3285,100,14,14,-29,41,41,998510,2554,391,46,11.76,-8,122,31.2,791190,3127,253,36,14.23,-13,92,36.36,207320,1502,138,10,7.25,1,30,21.74,Cameron Crockett,303380,3034,100,12,12,-26,41,41,645270,3226,200,26,13,-32,77,38.5,197590,3136,63,8,12.7,-6,26,41.27,568205,3304,172,26,15.12,-43,63,36.63,1,0,900m,-100,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/step-on-fire_751484/,https://www.punters.com.au/jockeys/reece-jones_15212/,https://www.punters.com.au/trainers/cameron-crockett_5242/,4
3,Tikkitala,7,G,66,19,3,15.79,28,7,36.84,11,1,9.09,-50,8,2,25,136,3474,66005,51,,59,57,9,75000,1,0,0,-100,0,0,7,1,14.29,-21,3,42.86,0,0,0,0,0,0,11,1,9.09,-50,5,45.45,Louise Day,Yes,2,455535,4555,100,5,5,-68,14,14,2883590,4285,673,52,7.73,-48,169,25.11,1311765,5164,254,19,7.48,-46,57,22.44,2156165,3369,640,51,7.97,-44,163,25.47,Allan Kehoe,257940,2579,100,12,12,-29,28,28,466015,2807,166,18,10.84,-31,55,33.13,162780,3130,52,4,7.69,-59,15,28.85,426000,2354,181,18,9.94,-34,58,32.04,1,0,1000m,0,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tikkitala_518511/,https://www.punters.com.au/jockeys/louise-day_14123/,https://www.punters.com.au/trainers/allan-kehoe_6087/,11
4,What the Fuss,5,G,63,19,3,15.79,-62,10,52.63,13,2,15.38,-64,6,1,16.67,-57,4373,83080,16,,59,59,12,75000,1,0,0,-100,0,0,8,1,12.5,-64,5,62.5,0,0,0,0,0,0,13,2,15.38,-64,5,38.46,Mathew Cahill,No,,218925,2189,100,7,7,-28,17,17,1665450,2837,587,64,10.9,4,175,29.81,529610,2283,232,24,10.34,-7,54,23.28,1604920,2786,576,56,9.72,-13,188,32.64,Kody Nestor,450560,4506,100,19,19,-2,49,49,1022510,3963,258,43,16.67,-21,102,39.53,462035,4400,105,20,19.05,-1,50,47.62,816300,3963,206,36,17.48,-27,79,38.35,13,9.03,1300m,300,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/what-the-fuss_678618/,https://www.punters.com.au/jockeys/mathew-cahill_991/,https://www.punters.com.au/trainers/kody-nestor_14531/,7
5,Zardoro,7,G,59,31,3,9.68,-20,15,48.39,20,2,10,-6,11,1,9.09,-45,6304,195415,23,,59,57,1,75000,7,0,0,-100,2,28.57,5,0,0,-100,2,40,1,0,0,-100,0,0,20,2,10,-6,11,55,Tom Sherry,Yes,2,2487285,24873,100,14,14,-37,42,42,5754603,8174,704,111,15.77,-25,312,44.32,3528875,14522,243,35,14.4,-20,94,38.68,2647123,4920,538,95,17.66,-22,258,47.96,Terry Robinson,280835,2808,100,3,3,-47,26,26,359360,3045,118,5,4.24,-31,30,25.42,139970,4666,30,2,6.67,-60,10,33.33,459725,3085,149,10,6.71,-33,42,28.19,11,7.1,1200m,200,,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/zardoro_552897/,https://www.punters.com.au/jockeys/tom-sherry_16835/,https://www.punters.com.au/trainers/terry-robinson_333/,5
6,Remlaps Gem,4,G,65,4,2,50,198,3,75,1,0,0,-100,3,2,66.67,297,8569,34275,11,,57.5,57.5,5,75000,0,0,0,0,0,0,2,1,50,400,2,100,0,0,0,0,0,0,1,0,0,-100,1,100,Billy Cray,No,,156750,1568,100,6,6,-29,21,21,699045,1689,414,25,6.04,-46,87,21.01,346610,2088,166,12,7.23,-21,39,23.49,630215,1400,450,26,5.78,-56,88,19.56,Scott Singleton,320915,3209,100,9,9,-21,25,25,757730,3626,209,24,11.48,-1,67,32.06,251355,2957,85,9,10.59,0,21,24.71,576365,3602,160,16,10,-21,54,33.75,2,1.2,1000m,0,4650,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/remlaps-gem_761049/,https://www.punters.com.au/jockeys/billy-cray_12835/,https://www.punters.com.au/trainers/scott-singleton_496/,1
7,Danebrook,4,G,62,7,2,28.57,-10,6,85.71,6,2,33.33,5,1,0,0,-100,6919,48435,11,,57.5,57.5,3,75000,0,0,0,0,0,0,4,1,25,20,4,100,0,0,0,0,0,0,6,2,33.33,5,6,100,Regan Bayliss,No,,1559305,15593,100,9,9,-47,24,24,3226816,7628,423,34,8.04,-46,100,23.64,2123020,12713,167,13,7.78,-50,37,22.16,2574329,7777,331,23,6.95,-49,72,21.75,Sue Grills,273376,2734,100,14,14,11,36,36,480586,2256,213,20,9.39,-24,57,26.76,197771,2786,71,11,15.49,32,27,38.03,547055,2521,217,21,9.68,-25,58,26.73,1,0,950m,-50,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/danebrook_704049/,https://www.punters.com.au/jockeys/regan-bayliss_7487/,https://www.punters.com.au/trainers/sue-grills_572/,10
9,Tejori,4,M,70,8,3,37.5,8,5,62.5,2,1,50,40,6,2,33.33,-2,10844,86750,4.5,,57,57,4,75000,5,1,20,-26,2,40,5,2,40,-1,3,60,2,0,0,-100,0,0,2,1,50,40,2,100,Tommy Berry,No,,1034690,10347,100,20,20,6,52,52,11490605,14981,767,135,17.6,-11,354,46.15,6288350,19713,319,69,21.63,7,164,51.41,12063455,16503,731,113,15.46,-14,314,42.95,Nick Olive,267160,2672,100,10,10,-53,32,32,844375,3548,238,33,13.87,-28,89,37.4,227470,2774,82,8,9.76,-53,26,31.71,976995,3831,255,42,16.47,-17,101,39.61,3,1.6,1000m,0,3200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tejori_701699/,https://www.punters.com.au/jockeys/tommy-berry_1690/,https://www.punters.com.au/trainers/nick-olive_334/,2
10,Affinity Beyond,4,M,68,7,3,42.86,24,5,71.43,6,3,50,45,0,0,0,0,6043,42300,5,,57,57,7,75000,0,0,0,0,0,0,6,3,50,45,5,83.33,0,0,0,0,0,0,6,3,50,45,5,83.33,Simon Miller,No,,215170,2152,100,9,9,-23,30,30,1110623,2027,548,47,8.58,-38,169,30.84,389858,1989,196,16,8.16,-31,58,29.59,1074170,2201,488,48,9.84,-35,160,32.79,Luke Pepper,238915,2389,100,12,12,-32,39,39,541615,2708,200,29,14.5,-20,83,41.5,169890,2360,72,8,11.11,-56,29,40.28,572290,3215,178,32,17.98,18,69,38.76,1,0,1050m,50,11200,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/affinity-beyond_688957/,https://www.punters.com.au/jockeys/simon-miller_1603/,https://www.punters.com.au/trainers/luke-pepper_4650/,6
12,Tickler,4,G,65,3,1,33.33,367,1,33.33,0,0,0,0,3,1,33.33,367,15770,47310,5.5,,56,56,8,75000,1,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kerrin Mc Evoy,No,,10080025,100800,100,10,10,-20,36,36,17906388,27848,643,69,10.73,-27,220,34.21,11797715,50418,234,21,8.97,-41,80,34.19,11094298,17147,647,74,11.44,-31,222,34.31,Kurt Goldman,484115,4841,100,10,10,-28,33,33,544235,4573,119,11,9.24,-37,39,32.77,157055,3926,40,1,2.5,-87,12,30,580380,4464,130,14,10.77,-28,42,32.31,6,3.1,1400m,400,4000,https://www.punters.com.au/form-guide/royal-randwick_188075/tab-highway-class-3-plate_1086789/,https://www.punters.com.au/horses/tickler_757707/,https://www.punters.com.au/jockeys/kerrin-mc-evoy_815/,https://www.punters.com.au/trainers/kurt-goldman_5083/,8
